,provinsi,daerah,jenis,tahun,peng,Cluster
248,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2019,487640.0,Cluster 6
249,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2020,526007.0,Cluster 6
250,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2021,534905.0,Cluster 6
251,SUMATERA UTARA,PERDESAANPERKOTAAN,NONMAKANAN,2022,552569.0,Cluster 6
264,SUMATERA BARAT,PERDESAAN,MAKANAN,2007,192079.0,Cluster 1
265,SUMATERA BARAT,PERDESAAN,MAKANAN,2008,212391.0,Cluster 1
266,SUMATERA BARAT,PERDESAAN,MAKANAN,2009,238274.0,Cluster 1
267,SUMATERA BARAT,PERDESAAN,MAKANAN,2010,280748.0,Cluster 1
268,SUMATERA BARAT,PERDESAAN,MAKANAN,2011,325893.0,Cluster 1
269,SUMATERA BARAT,PERDESAAN,MAKANAN,2012,370535.0,Cluster 1
270,SUMATERA BARAT,PERDESAAN,MAKANAN,2013,402070.0,Cluster 1
271,SUMATERA BARAT,PERDESAAN,MAKANAN,2014,423217.0,Cluster 1
272,SUMATERA BARAT,PERDESAAN,MAKANAN,2015,447944.0,Cluster 1
273,SUMATERA BARAT,PERDESAAN,MAKANAN,2016,505042.0,Cluster 1
274,SUMATERA BARAT,PERDESAAN,MAKANAN,2017,544680.0,Cluster 1
275,SUMATERA BARAT,PERDESAAN,MAKANAN,2018,558783.0,Cluster 1
276,SUMATERA BARAT,PERDESAAN,MAKANAN,2019,561206.0,Cluster 1
277,SUMATERA BARAT,PERDESAAN,MAKANAN,2020,597149.0,Cluster 1
278,SUMATERA BARAT,PERDESAAN,MAKANAN,2021,619721.0,Cluster 1
279,SUMATERA BARAT,PERDESAAN,MAKANAN,2022,677060.0,Cluster 1
280,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2007,118393.0,Cluster 2
281,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2008,131257.0,Cluster 2
282,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2009,150515.0,Cluster 2
283,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2010,178601.0,Cluster 2
284,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2011,216984.0,Cluster 2
285,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2012,210653.0,Cluster 2
286,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2013,223409.0,Cluster 2
287,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2014,252800.0,Cluster 2
288,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2015,319143.0,Cluster 2
289,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2016,334953.0,Cluster 2
290,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2017,359478.0,Cluster 2
291,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2018,416100.0,Cluster 2
292,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2019,419508.0,Cluster 2
293,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2020,445718.0,Cluster 2
294,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2021,468281.0,Cluster 2
295,SUMATERA BARAT,PERDESAAN,NONMAKANAN,2022,477638.0,Cluster 2
312,SUMATERA BARAT,PERKOTAAN,MAKANAN,2007,252168.0,Cluster 3
313,SUMATERA BARAT,PERKOTAAN,MAKANAN,2008,263491.0,Cluster 3
314,SUMATERA BARAT,PERKOTAAN,MAKANAN,2009,299590.0,Cluster 3
315,SUMATERA BARAT,PERKOTAAN,MAKANAN,2010,344099.0,Cluster 3
316,SUMATERA BARAT,PERKOTAAN,MAKANAN,2011,409639.0,Cluster 3
317,SUMATERA BARAT,PERKOTAAN,MAKANAN,2012,423032.0,Cluster 3
318,SUMATERA BARAT,PERKOTAAN,MAKANAN,2013,447972.0,Cluster 3
319,SUMATERA BARAT,PERKOTAAN,MAKANAN,2014,521275.0,Cluster 3
320,SUMATERA BARAT,PERKOTAAN,MAKANAN,2015,509609.0,Cluster 3
321,SUMATERA BARAT,PERKOTAAN,MAKANAN,2016,583696.0,Cluster 3
322,SUMATERA BARAT,PERKOTAAN,MAKANAN,2017,639600.0,Cluster 3
323,SUMATERA BARAT,PERKOTAAN,MAKANAN,2018,663365.0,Cluster 3
324,SUMATERA BARAT,PERKOTAAN,MAKANAN,2019,663548.0,Cluster 3
325,SUMATERA BARAT,PERKOTAAN,MAKANAN,2020,698667.0,Cluster 3
326,SUMATERA BARAT,PERKOTAAN,MAKANAN,2021,718095.0,Cluster 3
327,SUMATERA BARAT,PERKOTAAN,MAKANAN,2022,756882.0,Cluster 3
328,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2007,256064.0,Cluster 4
329,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2008,250303.0,Cluster 4
330,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2009,285526.0,Cluster 4
331,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2010,326710.0,Cluster 4
332,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2011,384824.0,Cluster 4
333,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2012,416834.0,Cluster 4
334,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2013,519086.0,Cluster 4
335,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2014,506440.0,Cluster 4
336,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2015,578890.0,Cluster 4
337,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2016,610624.0,Cluster 4
338,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2017,625397.0,Cluster 4
339,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2018,705784.0,Cluster 4
340,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2019,709405.0,Cluster 4
341,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2020,753188.0,Cluster 4
342,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2021,764266.0,Cluster 4
343,SUMATERA BARAT,PERKOTAAN,NONMAKANAN,2022,781204.0,Cluster 4
360,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2011,358338.0,Cluster 5
361,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2012,390870.0,Cluster 5
362,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2013,419853.0,Cluster 5
363,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2014,461404.0,Cluster 5
364,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2015,472428.0,Cluster 5
365,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2016,537236.0,Cluster 5
366,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2017,584045.0,Cluster 5
367,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2018,604871.0,Cluster 5
368,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2019,609257.0,Cluster 5
369,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2020,644852.0,Cluster 5
370,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2021,668029.0,Cluster 5
371,SUMATERA BARAT,PERDESAANPERKOTAAN,MAKANAN,2022,716261.0,Cluster 5
372,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2011,282009.0,Cluster 6
373,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2012,290521.0,Cluster 6
374,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2013,337956.0,Cluster 6
375,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2014,351576.0,Cluster 6
376,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2015,422275.0,Cluster 6
377,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2016,447789.0,Cluster 6
378,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2017,469758.0,Cluster 6
379,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2018,543759.0,Cluster 6
380,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2019,555620.0,Cluster 6
381,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2020,590197.0,Cluster 6
382,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2021,613628.0,Cluster 6
383,SUMATERA BARAT,PERDESAANPERKOTAAN,NONMAKANAN,2022,626723.0,Cluster 6
396,RIAU,PERDESAAN,MAKANAN,2007,217296.0,Cluster 1
397,RIAU,PERDESAAN,MAKANAN,2008,237941.0,Cluster 1
398,RIAU,PERDESAAN,MAKANAN,2009,263543.0,Cluster 1
399,RIAU,PERDESAAN,MAKANAN,2010,276157.0,Cluster 1
400,RIAU,PERDESAAN,MAKANAN,2011,360996.0,Cluster 1
401,RIAU,PERDESAAN,MAKANAN,2012,372308.0,Cluster 1
402,RIAU,PERDESAAN,MAKANAN,2013,418560.0,Cluster 1
403,RIAU,PERDESAAN,MAKANAN,2014,432629.0,Cluster 1
404,RIAU,PERDESAAN,MAKANAN,2015,472756.0,Cluster 1
405,RIAU,PERDESAAN,MAKANAN,2016,529182.0,Cluster 1
406,RIAU,PERDESAAN,MAKANAN,2017,577172.0,Cluster 1
407,RIAU,PERDESAAN,MAKANAN,2018,569382.0,Cluster 1
408,RIAU,PERDESAAN,MAKANAN,2019,581820.0,Cluster 1
409,RIAU,PERDESAAN,MAKANAN,2020,616148.0,Cluster 1
410,RIAU,PERDESAAN,MAKANAN,2021,643925.0,Cluster 1
411,RIAU,PERDESAAN,MAKANAN,2022,687965.0,Cluster 1
412,RIAU,PERDESAAN,NONMAKANAN,2007,172328.0,Cluster 2
413,RIAU,PERDESAAN,NONMAKANAN,2008,187452.0,Cluster 2
414,RIAU,PERDESAAN,NONMAKANAN,2009,226950.0,Cluster 2
415,RIAU,PERDESAAN,NONMAKANAN,2010,199219.0,Cluster 2
416,RIAU,PERDESAAN,NONMAKANAN,2011,282024.0,Cluster 2
417,RIAU,PERDESAAN,NONMAKANAN,2012,307100.0,Cluster 2
418,RIAU,PERDESAAN,NONMAKANAN,2013,297984.0,Cluster 2
419,RIAU,PERDESAAN,NONMAKANAN,2014,304855.0,Cluster 2
420,RIAU,PERDESAAN,NONMAKANAN,2015,413929.0,Cluster 2
421,RIAU,PERDESAAN,NONMAKANAN,2016,415428.0,Cluster 2
422,RIAU,PERDESAAN,NONMAKANAN,2017,422216.0,Cluster 2
423,RIAU,PERDESAAN,NONMAKANAN,2018,482077.0,Cluster 2
424,RIAU,PERDESAAN,NONMAKANAN,2019,483155.0,Cluster 2
425,RIAU,PERDESAAN,NONMAKANAN,2020,511937.0,Cluster 2
426,RIAU,PERDESAAN,NONMAKANAN,2021,538482.0,Cluster 2
427,RIAU,PERDESAAN,NONMAKANAN,2022,564974.0,Cluster 2
444,RIAU,PERKOTAAN,MAKANAN,2007,266597.0,Cluster 3
445,RIAU,PERKOTAAN,MAKANAN,2008,285064.0,Cluster 3
446,RIAU,PERKOTAAN,MAKANAN,2009,328636.0,Cluster 3
447,RIAU,PERKOTAAN,MAKANAN,2010,356537.0,Cluster 3
448,RIAU,PERKOTAAN,MAKANAN,2011,424696.0,Cluster 3
449,RIAU,PERKOTAAN,MAKANAN,2012,525993.0,Cluster 3
450,RIAU,PERKOTAAN,MAKANAN,2013,546166.0,Cluster 3
451,RIAU,PERKOTAAN,MAKANAN,2014,558444.0,Cluster 3
452,RIAU,PERKOTAAN,MAKANAN,2015,530836.0,Cluster 3
453,RIAU,PERKOTAAN,MAKANAN,2016,599303.0,Cluster 3
454,RIAU,PERKOTAAN,MAKANAN,2017,643136.0,Cluster 3
455,RIAU,PERKOTAAN,MAKANAN,2018,644937.0,Cluster 3
456,RIAU,PERKOTAAN,MAKANAN,2019,680685.0,Cluster 3
457,RIAU,PERKOTAAN,MAKANAN,2020,744846.0,Cluster 3
458,RIAU,PERKOTAAN,MAKANAN,2021,714406.0,Cluster 3
459,RIAU,PERKOTAAN,MAKANAN,2022,794813.0,Cluster 3
460,RIAU,PERKOTAAN,NONMAKANAN,2007,326635.0,Cluster 4
461,RIAU,PERKOTAAN,NONMAKANAN,2008,328559.0,Cluster 4
462,RIAU,PERKOTAAN,NONMAKANAN,2009,329662.0,Cluster 4
463,RIAU,PERKOTAAN,NONMAKANAN,2010,362172.0,Cluster 4
464,RIAU,PERKOTAAN,NONMAKANAN,2011,503248.0,Cluster 4
465,RIAU,PERKOTAAN,NONMAKANAN,2012,554568.0,Cluster 4
466,RIAU,PERKOTAAN,NONMAKANAN,2013,587504.0,Cluster 4
467,RIAU,PERKOTAAN,NONMAKANAN,2014,632006.0,Cluster 4
468,RIAU,PERKOTAAN,NONMAKANAN,2015,661673.0,Cluster 4
469,RIAU,PERKOTAAN,NONMAKANAN,2016,701840.0,Cluster 4
